Variable,Spearman_rho,p_value,Significance
refactorizable_Assign.Multi.Targets,0.6409316965600222,1.177481433828819e-27,***
refactorizable_Call.Star,0.2994861107689933,4.365703751557225e-06,***
refactorizable_List.Comprehension,0.4166836352439638,6.015905086843717e-11,***
refactorizable_Dict.Comprehension,0.31809970708096885,9.885174995115338e-07,***
refactorizable_Set.Comprehension,0.11873147882658837,0.07421026790102725,*
refactorizable_Truth.Value.Test,0.5793442604228627,9.530789947874136e-22,***
refactorizable_Chain.Compare,0.5763669388634379,1.7128052424752478e-21,***
refactorizable_For.Multi.Targets,0.1743424724173748,0.008477796455670455,***
refactorizable_For.Else,0.34178111253147214,1.285403171277532e-07,***
PY_Assign.Multi.Targets,0.371746283742528,7.540584274976092e-09,***
PY_Call.Star,0.5016224239030243,7.209201946400054e-16,***
PY_List.Comprehension,0.5401748042757033,1.3539975524387138e-18,***
PY_Dict.Comprehension,0.3880702414715502,1.417341503761225e-09,***
PY_Set.Comprehension,0.2736797521055826,2.905690924196034e-05,***
PY_Truth.Value.Test,0.5876026886796204,1.816404070010098e-22,***
PY_Chain.Compare,0.38125591612838855,2.8799218744352514e-09,***
PY_For.Multi.Targets,0.5024246362571172,6.376800327724087e-16,***
PY_For.Else,0.28382130018701296,1.4105051281870162e-05,***
Commits,0.14300300779827183,0.03126021260636224,**
complexity,0.6176599608685822,2.864062455429324e-25,***
ncloc,0.6341723575098637,6.0950497816044026e-27,***
